region,date,sunny_days,mean_sun_hours,total_sun_hours
dalarna,2024-01-01,2,1.8118727598566309,56.168055555555554
dalarna,2024-02-01,3,2.2239272030651343,64.49388888888889
dalarna,2024-03-01,8,3.1919534050179212,98.95055555555555
dalarna,2024-04-01,11,4.933842592592593,148.01527777777778
dalarna,2024-05-01,24,10.769157706093191,333.8438888888889
dalarna,2024-06-01,22,9.638898148148147,289.1669444444444
dalarna,2024-07-01,15,6.6906541218637985,207.41027777777776
dalarna,2024-08-01,18,7.348387096774194,227.8
dalarna,2024-09-01,14,5.76562037037037,172.9686111111111
dalarna,2024-10-01,7,3.4117025089605733,105.76277777777777
dalarna,2024-11-01,5,2.9245,87.735
dalarna,2024-12-01,0,1.544964157706093,47.89388888888889
dalarna,2025-01-01,0,1.7570788530465948,54.46944444444444
dalarna,2025-02-01,10,3.62,101.36
dalarna,2025-03-01,18,5.891155913978495,182.62583333333333
dalarna,2025-04-01,18,6.797666666666667,203.93
dalarna,2025-05-01,16,7.155600358422939,221.82361111111112
dalarna,2025-06-01,19,8.758925925925926,262.7677777777778
dalarna,2025-07-01,22,9.680743727598566,300.10305555555556
dalarna,2025-08-01,21,7.669229390681004,237.7461111111111
dalarna,2025-09-01,9,4.508388888888889,135.25166666666667
dalarna,2025-10-01,7,3.1441129032258064,97.4675
